Sale Order No,Shipping Package Code,Shipping Package Status,Shipping Provider,Shipping Courier,AWB No,Return Delivery Date,RTO Reason,Created,Channel Created,Return Manifest Code,Return Manifest Status,Return Manifest Created By,Return Manifest Created At,Reshipment Action,Channel,Putaway No,Putaway Status,Putaway By,Putaway Date,Dispatch Facility,Return Facility
2bd67b18-205a-42ea-a38e-3df04661f297,XBBH2024-2514571,RETURN_ACKNOWLEDGED,ATS,ATS,627204325298,2024-07-18 18:23:51,REJECT,2024-07-12 23:12:14,2024-07-12 13:55:25,RM2024-251935444,CLOSED,arpit.tiwari@xpressbees.com,2024-07-20 12:45:41,,AMAZON_FLEX_API_BHIWANDI,PT6495303,CREATED,arpit.tiwari@xpressbees.com,2024-07-20 12:45:41,XB Bhiwandi,XB Bhiwandi
575d240d-e9bf-42ac-81df-4ae1072a4eac,XBBH2024-2514600,RETURN_ACKNOWLEDGED,ATS,ATS,627181568923,2024-07-12 16:59:19,REJECT,2024-07-06 22:14:21,2024-07-06 11:48:08,RM2024-251935429,CLOSED,arpit.tiwari@xpressbees.com,2024-07-16 11:45:34,,AMAZON_FLEX_API_BHIWANDI,PT6259982,CREATED,arpit.tiwari@xpressbees.com,2024-07-16 11:45:34,XB Bhiwandi,XB Bhiwandi
SLP4244547094,XBBH2024-2514603,RETURN_ACKNOWLEDGED,DELHIVERY_ESSENTIAL,,7269466954794,,,2024-07-07 20:29:03,2024-07-07 20:29:03,RM2024-251935465,CLOSED,arpit.tiwari@xpressbees.com,2024-07-21 15:45:52,,SNAPDEAL_BODYGLOVE_BHIWANDI,PT6575002,CREATED,arpit.tiwari@xpressbees.com,2024-07-21 15:45:52,XB Bhiwandi,XB Bhiwandi
431668831834630100,XBBH2024-2514608,RETURN_ACKNOWLEDGED,E-Kart Logistics,,FMPP2410871278,2024-07-14 00:47:45,,2024-07-05 20:36:17,2024-07-05 20:36:17,RM2024-251935437,CLOSED,arpit.tiwari@xpressbees.com,2024-07-16 11:45:38,,FLIPKART_BHIWANDI,PT6259990,CREATED,arpit.tiwari@xpressbees.com,2024-07-16 11:45:38,XB Bhiwandi,XB Bhiwandi
4a5ebc41-66fd-4209-a3d3-8c55387e0f1e,XBBH2024-2514636,RETURN_EXPECTED,ATS,ATS,627182980656,2024-07-18 18:23:51,REJECT,2024-07-06 19:44:11,2024-07-06 17:43:33,,,,,,AMAZON_FLEX_API_BHIWANDI,,,,,XB Bhiwandi,XB Bhiwandi
90c6b8cd-5434-4024-961e-5eed4dbeb92d,XBBH2024-2514650,RETURN_ACKNOWLEDGED,ATS,ATS,627175980823,2024-07-11 17:56:43,REJECT,2024-07-04 18:40:08,2024-07-04 18:36:11,RM2024-251935415,CLOSED,arpit.tiwari@xpressbees.com,2024-07-16 11:45:27,,AMAZON_FLEX_API_BHIWANDI,PT6259968,CREATED,arpit.tiwari@xpressbees.com,2024-07-16 11:45:27,XB Bhiwandi,XB Bhiwandi
SLP4244920112,XBBH2024-2514655,RETURN_ACKNOWLEDGED,EKART,,SDLC1032973239,,,2024-07-12 20:26:42,2024-07-12 20:26:42,RM2024-251935493,CLOSED,arpit.tiwari@xpressbees.com,2024-07-22 17:46:06,,SNAPDEAL_BODYGLOVE_BHIWANDI,PT6650200,CREATED,arpit.tiwari@xpressbees.com,2024-07-22 17:46:06,XB Bhiwandi,XB Bhiwandi
431674631935775100,XBBH2024-2514663,RETURN_ACKNOWLEDGED,E-Kart Logistics,,FMPC3843416292,2024-07-17 00:36:31,,2024-07-08 00:35:19,2024-07-08 00:35:19,RM2024-251935440,CLOSED,arpit.tiwari@xpressbees.com,2024-07-16 11:45:40,,FLIPKART_BHIWANDI,PT6259993,CREATED,arpit.tiwari@xpressbees.com,2024-07-16 11:45:40,XB Bhiwandi,XB Bhiwandi
431678060314978100,XBBH2024-2514713,RETURN_EXPECTED,E-Kart Logistics,,FMPC3847049710,,,2024-07-11 00:32:35,2024-07-11 00:32:35,,,,,,FLIPKART_BHIWANDI,,,,,XB Bhiwandi,XB Bhiwandi
331678311830338100,XBBH2024-2514716,RETURN_EXPECTED,E-Kart Logistics,,FMPC3846997512,2024-07-16 00:37:37,,2024-07-07 08:29:36,2024-07-07 08:29:36,,,,,,FLIPKART_BHIWANDI,,,,,XB Bhiwandi,XB Bhiwandi
