Sale Order Item Code,Sale Order Received,Original Sale Order Code,Item Name,Item SkuCode,Reverse Pickup No,Tracking No,Dispatched Date,Reference Code,Bulk Return Id,Reverse Pickup Created,Reverse Pickup Last Updated,Reverse Pickup Status,Reverse Pickup Action,Return Reason,Customer Image Url,Replacement Sale Order Code,Channel Name,Total Received Items,QC Comment,Reverse Pickup Created By,Putaway Code,Putaway Created By,Putaway Status,Putaway Last Updated,Courier Provider Name,Return Item Status,Shipping Courier Status,Shipping Tracking Status,Item Seal Id,Return Delivery Date,Channel Return Created Date,Return Courier Name,Return Remarks,Item Details
331563616095032100-1-1,2024-06-19 12:42:58,OD331563616095032100,HFT-22HH-JG,HFT-22HH-JG-24,RP2024-2546522,FMPR0591659496,2024-06-22 12:56:45,,,2024-07-01 01:07:25,2024-07-01 01:07:24,COURIER_ALLOCATED,WAC,SIZE_FIT_ISSUES,,,FLIPKART_BHIWANDI,2,,,,,,,Ekart Logistics,,CUSTOMER_RETURN-IN_TRANSIT,CIR_IN_TRANSIT,,,2024-07-01 01:07:25,,,
331563616095032100-1-0,2024-06-19 12:42:58,OD331563616095032100,HFT-22HH-RU,HFT-22HH-RU-24,RP2024-2546522,FMPR0591659496,2024-06-22 12:56:45,,,2024-07-01 01:07:25,2024-07-01 01:07:24,COURIER_ALLOCATED,WAC,SIZE_FIT_ISSUES,,,FLIPKART_BHIWANDI,2,,,,,,,Ekart Logistics,,CUSTOMER_RETURN-IN_TRANSIT,CIR_IN_TRANSIT,,,2024-07-01 01:07:25,,,
331566591627464400-1,2024-06-19 21:01:55,OD331566591627464400,HFT-VP3-017_012_016,HFT-VP3-017_012_016-24,RP2024-2546523,FMPR0591295268,2024-06-20 12:55:53,,,2024-07-01 01:07:30,2024-07-11 16:18:10,COURIER_ALLOCATED,WAC,SIZE_FIT_ISSUES,,,FLIPKART_BHIWANDI,1,,arpit.tiwari@xpressbees.com,PT5983126,arpit.tiwari@xpressbees.com,CREATED,2024-07-11 16:18:10,Ekart Logistics,GOOD_INVENTORY,CUSTOMER_RETURN-IN_TRANSIT,CIR_IN_TRANSIT,,,2024-07-01 01:07:30,,,
331574704622094400-1-0,2024-06-20 19:31:57,OD331574704622094400,HFT-22HH-BU,HFT-22HH-BU-24,RP2024-2546524,FMPR0591289267,2024-06-21 12:54:22,,,2024-07-01 01:07:43,2024-07-01 01:07:42,COURIER_ALLOCATED,WAC,QUALITY_ISSUES,,,FLIPKART_BHIWANDI,2,,,,,,,Ekart Logistics,,CUSTOMER_RETURN-IN_TRANSIT,CIR_IN_TRANSIT,,,2024-07-01 01:07:43,,,
331574704622094400-1-1,2024-06-20 19:31:57,OD331574704622094400,HFT-22HH-H1,HFT-22HH-H1-24,RP2024-2546524,FMPR0591289267,2024-06-21 12:54:22,,,2024-07-01 01:07:43,2024-07-01 01:07:42,COURIER_ALLOCATED,WAC,QUALITY_ISSUES,,,FLIPKART_BHIWANDI,2,,,,,,,Ekart Logistics,,CUSTOMER_RETURN-IN_TRANSIT,CIR_IN_TRANSIT,,,2024-07-01 01:07:43,,,
431585695445003100-1-0,2024-06-22 02:01:40,OD431585695445003100,HFT-22HH-F1,HFT-22HH-F1-28,RP2024-2546525,FMPR0591580353,2024-06-22 12:56:39,,,2024-07-01 01:07:57,2024-07-11 16:26:34,COURIER_ALLOCATED,WAC,SIZE_FIT_ISSUES,,,FLIPKART_BHIWANDI,2,,arpit.tiwari@xpressbees.com,PT5983155,arpit.tiwari@xpressbees.com,CREATED,2024-07-11 16:26:34,Ekart Logistics,GOOD_INVENTORY,CUSTOMER_RETURN-IN_TRANSIT,CIR_IN_TRANSIT,,,2024-07-01 01:07:57,,,
431585695445003100-1-1,2024-06-22 02:01:40,OD431585695445003100,HFT-22HH-RU,HFT-22HH-RU-28,RP2024-2546525,FMPR0591580353,2024-06-22 12:56:39,,,2024-07-01 01:07:57,2024-07-11 16:26:34,COURIER_ALLOCATED,WAC,SIZE_FIT_ISSUES,,,FLIPKART_BHIWANDI,2,,arpit.tiwari@xpressbees.com,PT5983155,arpit.tiwari@xpressbees.com,CREATED,2024-07-11 16:26:34,Ekart Logistics,GOOD_INVENTORY,CUSTOMER_RETURN-IN_TRANSIT,CIR_IN_TRANSIT,,,2024-07-01 01:07:57,,,
331588347158364102-1-1,2024-06-22 09:23:21,OD331588347158364100,HFT-22HH-JG,HFT-22HH-JG-30,RP2024-2546526,FMPR0591315132,2024-06-22 12:56:52,,,2024-07-01 01:07:58,2024-08-09 17:35:18,COURIER_ALLOCATED,WAC,SIZE_FIT_ISSUES,,,FLIPKART_BHIWANDI,2,,arpit.tiwari@xpressbees.com,PT7325827,arpit.tiwari@xpressbees.com,CREATED,2024-08-09 17:35:18,Ekart Logistics,GOOD_INVENTORY,CUSTOMER_RETURN-IN_TRANSIT,CIR_IN_TRANSIT,,,2024-07-01 01:07:58,,,
331588347158364102-1-0,2024-06-22 09:23:21,OD331588347158364100,HFT-22HH-RU,HFT-22HH-RU-30,RP2024-2546526,FMPR0591315132,2024-06-22 12:56:52,,,2024-07-01 01:07:58,2024-08-09 17:35:18,COURIER_ALLOCATED,WAC,SIZE_FIT_ISSUES,,,FLIPKART_BHIWANDI,2,,arpit.tiwari@xpressbees.com,PT7325827,arpit.tiwari@xpressbees.com,CREATED,2024-08-09 17:35:18,Ekart Logistics,GOOD_INVENTORY,CUSTOMER_RETURN-IN_TRANSIT,CIR_IN_TRANSIT,,,2024-07-01 01:07:58,,,
402-4096047-6877900-1,2024-06-24 12:02:24,402-4096047-6877900,HFT-23HCS10-BL_PBL,HFT-23HCS10-BL_PBL-24,f07a54c2-9048-4ee4-9f7f-c0441894e9fa,627156275832,2024-06-25 10:14:59,,,2024-07-01 05:43:00,2024-07-07 17:26:43,COURIER_ALLOCATED,WAC,Too large,,,AMAZON_FLEX_API_BHIWANDI,1,,arpit.tiwari@xpressbees.com,PT5801086,arpit.tiwari@xpressbees.com,CREATED,2024-07-07 17:26:43,ATSIN,GOOD_INVENTORY,CUSTOMER_RETURN-DELIVERED,CIR_DELIVERED_TO_SELLER,,2024-07-06 17:27:25,2024-06-29 07:59:33,,,
